TICKER,CURRENCY,USDCAD,ASSET_TYPE,Quantity,Cost,,,,,,,,,
AAPL,USD,,Stock,248,74.88,,,,269.80%,,2.698019395,,359.98,258.02
AMZN,USD,,Stock,166,153.41,,,,,,,,,97.344
BTCC,CAD,,Stock,5,19.32,,,,,,,,,
GOOG,USD,,Stock,169.61,134.82,,,,,,,95.63311534,,
IONQ,USD,,Stock,130,49.39,,,,,,,,,
MAU.TO,CAD,,Stock,80,6.49,,,,,,,,,
MU,USD,,Stock,100.1,73.45,,,,,,,69.77248425,,1.395163166
NVDA,USD,,Stock,110.02,129.09,,,,,,,,,
QBTS,USD,,Stock,25,18.8,,,,,,,,,
SMCI,USD,,Stock,117,46.38,,,,,,,,,
SOL,USD,,Crypto,4.215105,229.82,,,,,,2.698019395,,,
PHN9756.CF,CAD,,Mutual Fund,885.138,31.01,57.92,86.78%,,,,,,,
PHN9757.CF,CAD,,Mutual Fund,222.311,25.59,57.97,126.53%,,,,,,,
RBF274.CF,CAD,,Mutual Fund,270.688,26.32,62.34,136.85%,,,,,,4.2151,
